coca_cola 100 120 12000 25 2500
sprite 100 135 13500 20 2000
dew 80 139 14120 51 4080
ice_cream 50 80 4000 10 500
rio 60 168 10080 52 3120
biscuit 40 180 7200 50 2000
burger 240 100 24000 15 3600
mentos 100 90 9000 20 2000
paan 60 90 5400 50 3000
lays 20 100 2000 10 200
wavy 60 80 4800 30 1800
doritos 400 90 36000 2 800
pringles 200 92 18400 13 2600
sting 100 94 9400 16 1600
water 30 191 5730 34 1020
may_fair 100 30 3000 15 1500
marigold 40 178 7120 22 880
kebabs 70 60 4200 110 7700
roll_paratha 30 104 3120 10 300
paddle_pop 60 18 1080 53 3180
